FIPS,State,"County, State",2018 Food Insecurity Rate
8059,CO,"Jefferson County, Colorado",8.3%
8061,CO,"Kiowa County, Colorado",10.5%
8063,CO,"Kit Carson County, Colorado",10.0%
8065,CO,"Lake County, Colorado",11.6%
8067,CO,"La Plata County, Colorado",8.7%
8069,CO,"Larimer County, Colorado",9.5%
8071,CO,"Las Animas County, Colorado",13.8%
8073,CO,"Lincoln County, Colorado",11.6%
8075,CO,"Logan County, Colorado",11.8%
8077,CO,"Mesa County, Colorado",12.6%
8079,CO,"Mineral County, Colorado",10.4%
8081,CO,"Moffat County, Colorado",11.5%
8083,CO,"Montezuma County, Colorado",13.8%
8085,CO,"Montrose County, Colorado",12.8%
8087,CO,"Morgan County, Colorado",9.3%
8089,CO,"Otero County, Colorado",16.3%
8091,CO,"Ouray County, Colorado",10.9%
8093,CO,"Park County, Colorado",8.0%
8095,CO,"Phillips County, Colorado",8.1%
8097,CO,"Pitkin County, Colorado",8.2%
8099,CO,"Prowers County, Colorado",13.4%
8101,CO,"Pueblo County, Colorado",14.1%
8103,CO,"Rio Blanco County, Colorado",11.0%
8105,CO,"Rio Grande County, Colorado",13.6%
8107,CO,"Routt County, Colorado",8.7%
8109,CO,"Saguache County, Colorado",13.0%
8111,CO,"San Juan County, Colorado",9.5%
8113,CO,"San Miguel County, Colorado",9.6%
8115,CO,"Sedgwick County, Colorado",12.7%
8117,CO,"Summit County, Colorado",8.4%
8119,CO,"Teller County, Colorado",10.0%
8121,CO,"Washington County, Colorado",9.9%
8123,CO,"Weld County, Colorado",8.5%
8125,CO,"Yuma County, Colorado",11.0%
9001,CT,"Fairfield County, Connecticut",9.9%
9003,CT,"Hartford County, Connecticut",11.7%
9005,CT,"Litchfield County, Connecticut",9.8%
9007,CT,"Middlesex County, Connecticut",9.7%
9009,CT,"New Haven County, Connecticut",12.1%
9011,CT,"New London County, Connecticut",11.8%
9013,CT,"Tolland County, Connecticut",9.2%
9015,CT,"Windham County, Connecticut",11.9%
10001,DE,"Kent County, Delaware",12.5%
10003,DE,"New Castle County, Delaware",10.7%
10005,DE,"Sussex County, Delaware",10.9%
11001,DC,"District of Columbia, District of Columbia",10.7%
12001,FL,"Alachua County, Florida",13.9%
12003,FL,"Baker County, Florida",13.5%
12005,FL,"Bay County, Florida",14.9%
12007,FL,"Bradford County, Florida",16.3%
12009,FL,"Brevard County, Florida",12.5%
12011,FL,"Broward County, Florida",11.6%
12013,FL,"Calhoun County, Florida",14.0%
12015,FL,"Charlotte County, Florida",13.4%
12017,FL,"Citrus County, Florida",15.5%
12019,FL,"Clay County, Florida",11.3%
12021,FL,"Collier County, Florida",10.5%
12023,FL,"Columbia County, Florida",15.2%
12027,FL,"DeSoto County, Florida",16.4%
12029,FL,"Dixie County, Florida",18.1%
12031,FL,"Duval County, Florida",14.1%
12033,FL,"Escambia County, Florida",13.6%
12035,FL,"Flagler County, Florida",12.4%
12037,FL,"Franklin County, Florida",16.3%
12039,FL,"Gadsden County, Florida",18.0%
12041,FL,"Gilchrist County, Florida",15.1%
12043,FL,"Glades County, Florida",14.3%
12045,FL,"Gulf County, Florida",14.2%
12047,FL,"Hamilton County, Florida",19.8%
12049,FL,"Hardee County, Florida",15.2%
12051,FL,"Hendry County, Florida",16.2%
12053,FL,"Hernando County, Florida",13.8%
12055,FL,"Highlands County, Florida",15.6%
12057,FL,"Hillsborough County, Florida",12.3%
12059,FL,"Holmes County, Florida",18.6%
12061,FL,"Indian River County, Florida",12.6%
12063,FL,"Jackson County, Florida",16.6%
12065,FL,"Jefferson County, Florida",13.6%
12067,FL,"Lafayette County, Florida",14.7%
12069,FL,"Lake County, Florida",12.4%
12071,FL,"Lee County, Florida",12.0%
12073,FL,"Leon County, Florida",13.7%
12075,FL,"Levy County, Florida",15.9%
12077,FL,"Liberty County, Florida",14.7%
12079,FL,"Madison County, Florida",18.5%
12081,FL,"Manatee County, Florida",11.9%
12083,FL,"Marion County, Florida",14.4%
12085,FL,"Martin County, Florida",11.2%
12086,FL,"Miami-Dade County, Florida",11.8%
12087,FL,"Monroe County, Florida",10.9%
12089,FL,"Nassau County, Florida",11.5%
12091,FL,"Okaloosa County, Florida",12.3%
12093,FL,"Okeechobee County, Florida",14.9%
12095,FL,"Orange County, Florida",12.3%
12097,FL,"Osceola County, Florida",12.1%
12099,FL,"Palm Beach County, Florida",11.6%
12101,FL,"Pasco County, Florida",12.9%
12103,FL,"Pinellas County, Florida",12.9%
12105,FL,"Polk County, Florida",13.7%
12107,FL,"Putnam County, Florida",17.3%
12109,FL,"St. Johns County, Florida",9.5%
12111,FL,"St. Lucie County, Florida",13.3%
12113,FL,"Santa Rosa County, Florida",11.6%
12115,FL,"Sarasota County, Florida",11.4%
12117,FL,"Seminole County, Florida",10.5%
12119,FL,"Sumter County, Florida",12.1%
12121,FL,"Suwannee County, Florida",15.2%
12123,FL,"Taylor County, Florida",16.4%
12125,FL,"Union County, Florida",15.5%
12127,FL,"Volusia County, Florida",13.6%
12129,FL,"Wakulla County, Florida",12.1%
12131,FL,"Walton County, Florida",13.2%
12133,FL,"Washington County, Florida",16.9%
13001,GA,"Appling County, Georgia",15.7%
13003,GA,"Atkinson County, Georgia",15.8%
13005,GA,"Bacon County, Georgia",16.8%
13007,GA,"Baker County, Georgia",17.3%
13009,GA,"Baldwin County, Georgia",16.7%
13011,GA,"Banks County, Georgia",11.6%
13013,GA,"Barrow County, Georgia",10.6%
13015,GA,"Bartow County, Georgia",11.9%
13017,GA,"Ben Hill County, Georgia",19.7%
13019,GA,"Berrien County, Georgia",17.2%
13021,GA,"Bibb County, Georgia",17.5%
13023,GA,"Bleckley County, Georgia",15.9%
13025,GA,"Brantley County, Georgia",16.5%
13027,GA,"Brooks County, Georgia",16.7%
13029,GA,"Bryan County, Georgia",11.2%
13031,GA,"Bulloch County, Georgia",15.9%
13033,GA,"Burke County, Georgia",16.8%
13035,GA,"Butts County, Georgia",15.7%
13037,GA,"Calhoun County, Georgia",18.3%
13039,GA,"Camden County, Georgia",11.8%
13043,GA,"Candler County, Georgia",18.6%
13045,GA,"Carroll County, Georgia",13.6%
13047,GA,"Catoosa County, Georgia",10.4%
13049,GA,"Charlton County, Georgia",16.7%
13051,GA,"Chatham County, Georgia",13.2%
13053,GA,"Chattahoochee County, Georgia",15.1%
13055,GA,"Chattooga County, Georgia",15.0%
13057,GA,"Cherokee County, Georgia",7.9%
13059,GA,"Clarke County, Georgia",16.3%
13061,GA,"Clay County, Georgia",24.2%
13063,GA,"Clayton County, Georgia",14.9%
13065,GA,"Clinch County, Georgia",20.5%
13067,GA,"Cobb County, Georgia",9.1%
13069,GA,"Coffee County, Georgia",16.0%
13071,GA,"Colquitt County, Georgia",15.3%
13073,GA,"Columbia County, Georgia",9.0%
13075,GA,"Cook County, Georgia",16.2%
13077,GA,"Coweta County, Georgia",9.8%
13079,GA,"Crawford County, Georgia",14.6%
13081,GA,"Crisp County, Georgia",19.6%
13083,GA,"Dade County, Georgia",12.8%
13085,GA,"Dawson County, Georgia",9.3%
13087,GA,"Decatur County, Georgia",17.6%
13089,GA,"DeKalb County, Georgia",12.9%
13091,GA,"Dodge County, Georgia",17.3%
13093,GA,"Dooly County, Georgia",17.5%
13095,GA,"Dougherty County, Georgia",19.6%
13097,GA,"Douglas County, Georgia",11.6%
13099,GA,"Early County, Georgia",17.9%
13101,GA,"Echols County, Georgia",14.9%
13103,GA,"Effingham County, Georgia",9.4%
13105,GA,"Elbert County, Georgia",15.4%
13107,GA,"Emanuel County, Georgia",18.4%
13109,GA,"Evans County, Georgia",16.3%
13111,GA,"Fannin County, Georgia",13.8%
13113,GA,"Fayette County, Georgia",7.3%
13115,GA,"Floyd County, Georgia",14.3%
13117,GA,"Forsyth County, Georgia",6.0%
13119,GA,"Franklin County, Georgia",16.7%
13121,GA,"Fulton County, Georgia",12.5%
13123,GA,"Gilmer County, Georgia",13.5%
13125,GA,"Glascock County, Georgia",13.3%
13127,GA,"Glynn County, Georgia",14.0%
13129,GA,"Gordon County, Georgia",14.6%
13131,GA,"Grady County, Georgia",16.6%
13133,GA,"Greene County, Georgia",14.9%
13135,GA,"Gwinnett County, Georgia",9.0%
13137,GA,"Habersham County, Georgia",11.7%
13139,GA,"Hall County, Georgia",10.0%
13141,GA,"Hancock County, Georgia",17.4%
13143,GA,"Haralson County, Georgia",13.6%
13145,GA,"Harris County, Georgia",9.5%
13147,GA,"Hart County, Georgia",13.9%
13149,GA,"Heard County, Georgia",13.8%
13151,GA,"Henry County, Georgia",10.2%
13153,GA,"Houston County, Georgia",12.8%
13155,GA,"Irwin County, Georgia",18.4%
13157,GA,"Jackson County, Georgia",9.8%
13159,GA,"Jasper County, Georgia",13.8%
13161,GA,"Jeff Davis County, Georgia",14.6%
13163,GA,"Jefferson County, Georgia",16.9%
13165,GA,"Jenkins County, Georgia",17.2%
13167,GA,"Johnson County, Georgia",15.9%
13169,GA,"Jones County, Georgia",11.9%
13171,GA,"Lamar County, Georgia",14.6%
13173,GA,"Lanier County, Georgia",16.3%
13175,GA,"Laurens County, Georgia",17.0%
13177,GA,"Lee County, Georgia",10.6%
13179,GA,"Liberty County, Georgia",14.4%
13181,GA,"Lincoln County, Georgia",15.2%
13183,GA,"Long County, Georgia",14.6%
13185,GA,"Lowndes County, Georgia",15.7%
13187,GA,"Lumpkin County, Georgia",12.0%
13189,GA,"McDuffie County, Georgia",17.0%
13191,GA,"McIntosh County, Georgia",15.2%
13193,GA,"Macon County, Georgia",18.5%
13195,GA,"Madison County, Georgia",13.3%
13197,GA,"Marion County, Georgia",14.8%
13199,GA,"Meriwether County, Georgia",17.1%
13201,GA,"Miller County, Georgia",15.1%
13205,GA,"Mitchell County, Georgia",17.3%
13207,GA,"Monroe County, Georgia",11.9%
13209,GA,"Montgomery County, Georgia",15.8%
13211,GA,"Morgan County, Georgia",10.7%
13213,GA,"Murray County, Georgia",12.8%
13215,GA,"Muscogee County, Georgia",16.9%
13217,GA,"Newton County, Georgia",14.2%
13219,GA,"Oconee County, Georgia",7.1%
13221,GA,"Oglethorpe County, Georgia",12.4%
13223,GA,"Paulding County, Georgia",9.0%
13225,GA,"Peach County, Georgia",16.1%
13227,GA,"Pickens County, Georgia",10.5%
13229,GA,"Pierce County, Georgia",14.6%
13231,GA,"Pike County, Georgia",10.5%
13233,GA,"Polk County, Georgia",13.6%
13235,GA,"Pulaski County, Georgia",17.9%
13237,GA,"Putnam County, Georgia",12.6%
13239,GA,"Quitman County, Georgia",18.0%
13241,GA,"Rabun County, Georgia",14.5%
13243,GA,"Randolph County, Georgia",21.4%
13245,GA,"Richmond County, Georgia",17.3%
13247,GA,"Rockdale County, Georgia",11.9%
13249,GA,"Schley County, Georgia",15.6%
13251,GA,"Screven County, Georgia",16.2%
13253,GA,"Seminole County, Georgia",17.2%
13255,GA,"Spalding County, Georgia",15.9%
13257,GA,"Stephens County, Georgia",14.4%
13259,GA,"Stewart County, Georgia",20.2%
13261,GA,"Sumter County, Georgia",18.2%
13263,GA,"Talbot County, Georgia",15.5%
13265,GA,"Taliaferro County, Georgia",19.3%
13267,GA,"Tattnall County, Georgia",15.7%
13269,GA,"Taylor County, Georgia",18.2%
13271,GA,"Telfair County, Georgia",17.6%
13273,GA,"Terrell County, Georgia",20.1%
13275,GA,"Thomas County, Georgia",15.8%
13277,GA,"Tift County, Georgia",15.7%
13279,GA,"Toombs County, Georgia",16.7%
13281,GA,"Towns County, Georgia",13.6%
13283,GA,"Treutlen County, Georgia",17.0%
13285,GA,"Troup County, Georgia",15.4%
13287,GA,"Turner County, Georgia",19.9%
13289,GA,"Twiggs County, Georgia",18.4%
13291,GA,"Union County, Georgia",12.1%
13293,GA,"Upson County, Georgia",15.5%
13295,GA,"Walker County, Georgia",14.1%
13297,GA,"Walton County, Georgia",11.0%
13299,GA,"Ware County, Georgia",16.2%
13301,GA,"Warren County, Georgia",17.1%
13303,GA,"Washington County, Georgia",18.1%
13305,GA,"Wayne County, Georgia",14.9%
13307,GA,"Webster County, Georgia",16.8%
13309,GA,"Wheeler County, Georgia",18.4%
13311,GA,"White County, Georgia",11.7%
13313,GA,"Whitfield County, Georgia",11.7%
13315,GA,"Wilcox County, Georgia",15.4%
13317,GA,"Wilkes County, Georgia",16.8%
13319,GA,"Wilkinson County, Georgia",16.1%
13321,GA,"Worth County, Georgia",15.5%
15001,HI,"Hawaii County, Hawaii",12.9%
15003,HI,"Honolulu County, Hawaii",10.4%
15005,HI,"Kalawao County, Hawaii",18.6%
15007,HI,"Kauai County, Hawaii",9.7%
15009,HI,"Maui County, Hawaii",10.4%
16001,ID,"Ada County, Idaho",9.1%
16003,ID,"Adams County, Idaho",13.3%
16005,ID,"Bannock County, Idaho",12.2%
16007,ID,"Bear Lake County, Idaho",11.6%
16009,ID,"Benewah County, Idaho",14.3%
16011,ID,"Bingham County, Idaho",10.0%
16013,ID,"Blaine County, Idaho",9.4%
16015,ID,"Boise County, Idaho",11.2%
16017,ID,"Bonner County, Idaho",12.6%
16019,ID,"Bonneville County, Idaho",10.1%
16021,ID,"Boundary County, Idaho",12.9%
16023,ID,"Butte County, Idaho",12.0%
16025,ID,"Camas County, Idaho",14.1%
16027,ID,"Canyon County, Idaho",10.9%
16029,ID,"Caribou County, Idaho",9.0%
16031,ID,"Cassia County, Idaho",9.8%
16033,ID,"Clark County, Idaho",9.2%
16035,ID,"Clearwater County, Idaho",14.6%
16037,ID,"Custer County, Idaho",15.6%
16039,ID,"Elmore County, Idaho",11.9%
16041,ID,"Franklin County, Idaho",9.5%
16043,ID,"Fremont County, Idaho",9.6%
16045,ID,"Gem County, Idaho",13.9%
16047,ID,"Gooding County, Idaho",10.5%
16049,ID,"Idaho County, Idaho",14.1%
16051,ID,"Jefferson County, Idaho",7.6%
16053,ID,"Jerome County, Idaho",10.6%
16055,ID,"Kootenai County, Idaho",10.9%
16057,ID,"Latah County, Idaho",11.7%
16059,ID,"Lemhi County, Idaho",12.7%
16061,ID,"Lewis County, Idaho",15.0%
16063,ID,"Lincoln County, Idaho",10.4%
16065,ID,"Madison County, Idaho",11.4%
16067,ID,"Minidoka County, Idaho",11.3%
16069,ID,"Nez Perce County, Idaho",12.0%
16071,ID,"Oneida County, Idaho",10.8%
16073,ID,"Owyhee County, Idaho",13.4%
16075,ID,"Payette County, Idaho",11.7%
16077,ID,"Power County, Idaho",9.6%
16079,ID,"Shoshone County, Idaho",16.5%
16081,ID,"Teton County, Idaho",6.4%
16083,ID,"Twin Falls County, Idaho",11.0%
16085,ID,"Valley County, Idaho",11.6%
16087,ID,"Washington County, Idaho",13.4%
17001,IL,"Adams County, Illinois",10.2%
17003,IL,"Alexander County, Illinois",19.5%
17005,IL,"Bond County, Illinois",10.3%
17007,IL,"Boone County, Illinois",8.7%
17009,IL,"Brown County, Illinois",8.6%
17011,IL,"Bureau County, Illinois",10.1%
17013,IL,"Calhoun County, Illinois",11.3%
17015,IL,"Carroll County, Illinois",9.9%
